test,set,lab_id,file_id,substrate,bottle_id,mass_inoc,mass_sub,c_vs_sub_m,c_vs_sub_f,c_vs_inoc,ISR
1,1.3,E10,104,Sunflower seeds,1207,115.6,2.25,0.9033,0.915,0.0346,1.943
1,1.3,E10,104,Sunflower seeds,1208,115.7,2.24,0.9033,0.915,0.0346,1.953
1,1.3,E10,104,Sunflower seeds,1209,115.7,2.25,0.9033,0.915,0.0346,1.944
1,1.3,E10,104,Wheat straw,1210,115.8,2.28,0.8771,0.872,0.0346,2.015
1,1.3,E10,104,Wheat straw,1211,115.8,2.29,0.8771,0.872,0.0346,2.006
1,1.3,E10,104,Wheat straw,1212,116,2.29,0.8771,0.872,0.0346,2.009
1,1.3,E11,63,Blank,1255,427.2,,,,0.01819,
1,1.3,E11,63,Blank,1262,427.2,,,,0.01819,
1,1.3,E11,63,Blank,1263,427.2,,,,0.01819,
1,1.3,E11,63,Cellulose,1264,424,2.55,0.986,0.989,0.01819,3.058
1,1.3,E11,63,Cellulose,1265,424,2.58,0.986,0.989,0.01819,3.022
1,1.3,E11,63,Cellulose,1266,424,2.57,0.986,0.989,0.01819,3.034
1,1.3,E11,63,Rabbit feed,1267,424,3.17,0.7969,0.803,0.01819,3.03
1,1.3,E11,63,Rabbit feed,1268,424,3.21,0.7969,0.803,0.01819,2.992
1,1.3,E11,63,Rabbit feed,1269,424,3.19,0.7969,0.803,0.01819,3.01
1,1.3,E11,63,Sunflower seeds,1259,424,2.81,0.8894,0.915,0.01819,2.999
1,1.3,E11,63,Sunflower seeds,1260,424,2.86,0.8894,0.915,0.01819,2.947
1,1.3,E11,63,Sunflower seeds,1261,424,2.85,0.8894,0.915,0.01819,2.957
1,1.3,E11,63,Wheat straw,1256,424,2.96,0.876,0.872,0.01819,2.988
1,1.3,E11,63,Wheat straw,1257,424,2.94,0.876,0.872,0.01819,3.008
1,1.3,E11,63,Wheat straw,1258,424,2.94,0.876,0.872,0.01819,3.008
1,1.3,E12,38,Blank,1304,372.1,,,,0.01882,
1,1.3,E12,38,Blank,1305,372.1,,,,0.01882,
1,1.3,E12,38,Blank,1306,372.1,,,,0.01882,
